hhcat,SURVYR,hhcatDescription,codeDESCRIPTION,codecat,ew,ew2,mw,mw2,ewmw,combined_desc,estimate,calc1,calc2,calc3,standard_error,residual_standard_error
1,202122,UK,UHT whole milk,402,25485.36,93257179.4296,66541.86,2674801.6414,521782.35539999994,1_402,0.1914987047251159,0.14358224206211265,6.153662529765472e-4,6.040900862260375e-4,0.07256031374061382,37.89075954574705
1,202122,UK,Sterilised whole milk,403,1494.35,1116686.3125,66541.86,2674801.6414,11610.5275,1_403,0.011228646148454521,0.5000650899765636,2.3352570020977422e-4,6.040900862260375e-4,0.007943310113063689,70.74147682672307
1,202122,UK,Pasteurised or homogenised whole milk,404,2054900.97,15083648046.2167,66541.86,2674801.6414,82741039.5059,1_404,15.440663741590631,0.0035721081231345777,0.0012102222551953433,6.040900862260375e-4,0.8409105054558998,5.446077445432879
1,202122,UK,Condensed or evaporated milk,901,136733.39,480546065.4243,66541.86,2674801.6414,5091950.9971,1_901,1.027423865218075,0.025703121142551057,0.001119295334831972,6.040900862260375e-4,0.16305937247007518,15.870701274343588
1,202122,UK,Infant or baby milks - ready to drink,1102,119337.76,1788860267.1565998,66541.86,2674801.6414,5379355.3362,1_1102,0.8967119344124135,0.125608970006227,0.0013548381290282208,6.040900862260375e-4,0.3168556990778843,35.33528292845903
1,202122,UK,Infant or baby milks - dried,1103,404275.38,9002609179.1836,66541.86,2674801.6414,19990063.8412,1_1103,3.0377523261297474,0.055082521035538116,0.0014861818272090266,6.040900862260375e-4,0.7072186832006024,23.280985652363416
1,202122,UK,Instant dried milk,1201,57676.13,868051004.7048999,66541.86,2674801.6414,2195268.9094,1_1201,0.43338231002259325,0.26094742761528666,0.0011440017112676606,6.040900862260375e-4,0.2211555983288292,51.03013972058523
1,202122,UK,Yoghurt,1301,6905058.7,62686449564.854996,66541.86,2674801.6414,236662565.5921,1_1301,51.885074297592524,0.0013147371149604418,0.0010301423762638486,6.040900862260375e-4,1.5467364677226254,2.9810817246808767
1,202122,UK,Fromage frais,1302,299920.36,914364027.9388,66541.86,2674801.6414,13620136.2987,1_1302,2.253621705194294,0.01016499652956864,0.0013649305816402274,6.040900862260375e-4,0.2185450277134266,9.69750278894234
1,202122,UK,Fully skimmed milk,1502,1102092.79,6469025382.6140995,66541.86,2674801.6414,31483400.8075,1_1502,8.281199157943586,0.005326016809507644,8.586151288810348e-4,6.040900862260375e-4,0.5897406874266853,7.121440701748943
1,202122,UK,Semi-skimmed milk,1503,6472628.13,49610668130.6543,66541.86,2674801.6414,214203311.4719,1_1503,48.63576198501214,0.0011841692061697027,9.946735822914169e-4,6.040900862260375e-4,1.370101191239759,2.817065334890768
1,202122,UK,Dairy desserts - not frozen,1603,2078130.03,11221300707.9383,66541.86,2674801.6414,62830969.3939,1_1603,15.615208456751885,0.002598350681259899,9.087325859791479e-4,6.040900862260375e-4,0.747854081318064,4.7892673568164765
1,202122,UK,Dried milk products,1605,5427.15,29453957.1225,66541.86,2674801.6414,121459.61699999998,1_1605,0.04077996918030244,1.0000000000000002,6.726592854482878e-4,6.040900862260375e-4,0.04077857103141905,99.99657148126519
1,202122,UK,Milk drinks & other milks,1607,1127791.78,8588665532.7482,66541.86,2674801.6414,42956523.2417,1_1607,8.474303092820069,0.006752550497514317,0.001144814860686634,6.040900862260375e-4,0.6679033540105693,7.881513638289107
1,202122,UK,Non-dairy milk substitutes,1608,1936511.12,19251097559.4236,66541.86,2674801.6414,71603154.5472,1_1608,14.551074466508751,0.005133522910224615,0.0011113407017555445,6.040900862260375e-4,0.9897161539303456,6.801670599709389
1,202122,UK,Cream,1701,1500776.07,5798582404.8813,66541.86,2674801.6414,51722273.5734,1_1701,11.276932069527362,0.002574483074253941,0.0010358497611671624,6.040900862260375e-4,0.5220042278286863,4.628956037070147
1,202122,UK,Hard cheese - Cheddar type,2201,6200113.37,50177938740.5975,66541.86,2674801.6414,228312520.28959998,1_2201,46.58806779672224,0.001305309670529385,0.0011067898223281367,6.040900862260375e-4,1.3198572558965282,2.833037123701851
1,202122,UK,Hard cheese - Other UK or foreign equivalent,2202,921112.75,4219947165.3843,66541.86,2674801.6414,26720618.6667,1_2202,6.921302996339447,0.004973721067961464,8.719042102674825e-4,6.040900862260375e-4,0.47479870903109905,6.8599613292787724
1,202122,UK,Hard cheese - Edam or other foreign,2203,1696416.72,9966424392.088,66541.86,2674801.6414,57915841.707100004,1_2203,12.746989038178373,0.0034631738055965525,0.0010261240996747548,6.040900862260375e-4,0.7029522158429837,5.514653019137138
1,202122,UK,Cottage cheese,2205,178328.7,747955896.732,66541.86,2674801.6414,5244488.2743,1_2205,1.3399738149790223,0.023519793434995193,8.83928088289381e-4,6.040900862260375e-4,0.20427440639379182,15.244656582859404
1,202122,UK,Soft natural cheese,2206,2720284.42,16814553357.4756,66541.86,2674801.6414,95373348.4864,1_2206,20.440399622132595,0.0022722531144364574,0.0010537747205814911,6.040900862260375e-4,0.872632351747746,4.269155045299952
1,202122,UK,Processed cheese,2301,1157900.48,4903460432.1396,66541.86,2674801.6414,43229596.7205,1_2301,8.7005418844619,0.0036572968104397053,0.0011221347444812957,6.040900862260375e-4,0.4874829183354096,5.602902954883698
